"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
"ENSG00000023909",651.420537572078,-1.51317526163632,0.308519432534891,4.32739218720724e-08,3.72324408334119e-07,"ENSG00000023909"
"ENSG00000069702",213.730371562213,-3.877941226093,1.88998510487727,0.00104180880338529,0.0040312011431842,"ENSG00000069702"
"ENSG00000271252",2.95485378639515,2.93718236587689,1.97220134897342,0.00510804502181587,0.0160917623580534,"ENSG00000271252"
"ENSG00000116793",997.006819748259,0.466091554752875,0.215232673877046,0.0190023012042278,0.0487964140162288,"ENSG00000116793"
"ENSG00000213366",1043.20595503134,-1.67775826967951,0.363514974382399,1.7482217616123e-07,1.38505856589706e-06,"ENSG00000213366"
"ENSG00000117525",145.244158161343,-2.40153281028278,0.332492470834223,4.9643913812187e-14,8.13461052799149e-13,"ENSG00000117525"
"ENSG00000162692",3228.43461847504,-11.2634250878886,1.87116662276931,3.1864702670267e-11,3.98063466274967e-10,"ENSG00000162692"
"ENSG00000171517",188.526385404502,7.39097252810716,0.814449673540613,2.19431101274456e-20,5.63000190526316e-19,"ENSG00000171517"
"ENSG00000228852",16.4057006597565,-1.20333925516518,0.519921300340889,0.00222396257676433,0.00786257597360597,"ENSG00000228852"
"ENSG00000162643",7.48152807714146,-6.53199794935974,0.878546741773629,1.76198953043845e-14,3.00188216312325e-13,"ENSG00000162643"
"ENSG00000143093",1492.84892607022,1.00210781981345,0.369690287554638,0.00111629336864392,0.00428297681918735,"ENSG00000143093"
"ENSG00000188761",16.3853050348843,1.84075644103454,0.436273407760806,1.13052095223327e-06,7.94593970149628e-06,"ENSG00000188761"
"ENSG00000117598",1591.39320557784,11.1307436494828,1.13325759923762,3.25720889689946e-24,1.07212888021957e-22,"ENSG00000117598"
"ENSG00000230434",26.7368083615167,3.07003668160519,3.08383288704008,0.0123266575393745,0.0340511578793119,"ENSG00000230434"
"ENSG00000226053",4.54387457518303,2.94292207761629,1.38391881675876,0.00108912785842751,0.00419429495601482,"ENSG00000226053"
