"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","abs_log2FoldChange","entrez","symbol"
"ENSG00000245870",444.105633648378,11.4136700311151,1.02910943447522,4.191863026012e-30,1.97544012838076e-28,"ENSG00000245870",11.4136700311151,101927074,"LINC00682"
"ENSG00000114115",2467.00255396207,11.4029252215147,0.742446793279687,1.06150002965312e-54,1.66833347592445e-52,"ENSG00000114115",11.4029252215147,5947,"RBP1"
"ENSG00000198223",171.557913728426,-11.3662342030356,0.780013293549817,1.4753299399361e-49,1.84533039445591e-47,"ENSG00000198223",11.3662342030356,1438,"CSF2RA"
"ENSG00000124302",430.495028441407,11.3646518365302,1.03446056845237,1.39705895460673e-29,6.42240624170588e-28,"ENSG00000124302",11.3646518365302,64377,"CHST8"
"ENSG00000279864",167.349667343204,-11.3478616981539,0.759388632575972,6.10907045244803e-52,8.33582663236534e-50,"ENSG00000279864",11.3478616981539,NA,"NCOR1P4"
"ENSG00000175161",472.584072845428,11.282196534309,1.21604632066982,5.26984624712042e-22,1.49806358420746e-20,"ENSG00000175161",11.282196534309,253559,"CADM2"
"ENSG00000156463",164.25538337989,-11.2818066697118,0.808613714476322,1.12464829429959e-45,1.19296173662825e-43,"ENSG00000156463",11.2818066697118,153769,"SH3RF2"
"ENSG00000276644",399.759893200669,11.2740791617941,1.02328955384723,1.06667674829301e-29,4.93383194252815e-28,"ENSG00000276644",11.2740791617941,1602,"DACH1"
"ENSG00000162692",3228.43461847504,-11.2634250878886,1.87116662276931,3.1864702670267e-11,3.98063466274967e-10,"ENSG00000162692",11.2634250878886,7412,"VCAM1"
"ENSG00000066032",718.590037184633,11.2496330533564,1.15152766189555,4.94274186751307e-24,1.60580268529085e-22,"ENSG00000066032",11.2496330533564,1496,"CTNNA2"
"ENSG00000265843",603.228118110998,-11.2369411141052,0.688605226614987,2.88926520843366e-61,6.33086513080073e-59,"ENSG00000265843",11.2369411141052,NA,"LINC01029"
"ENSG00000127399",641.909360848379,11.2304812653099,1.02893976449483,3.43403615041385e-29,1.5226932230321e-27,"ENSG00000127399",11.2304812653099,65999,"LRRC61"
"ENSG00000171303",1818.17843723117,11.222049533975,1.20788047069291,4.92530813591341e-22,1.40411039821448e-20,"ENSG00000171303",11.222049533975,3777,"KCNK3"
"ENSG00000122254",1221.60194141433,11.221731163537,1.22547974239673,1.69769940934091e-21,4.68412119200412e-20,"ENSG00000122254",11.221731163537,9956,"HS3ST2"
"ENSG00000177614",382.440547911804,11.191761444323,1.04190891830997,2.3269984394324e-28,9.783496660129e-27,"ENSG00000177614",11.191761444323,79605,"PGBD5"
"ENSG00000164484",326.629268026362,-11.1902755981203,0.810976725413368,1.02525502264365e-44,1.0397679231331e-42,"ENSG00000164484",11.1902755981203,114801,"TMEM200A"
"ENSG00000128510",2181.82195537029,-11.1865431459422,0.759367353120856,1.62937392547722e-50,2.09923501583264e-48,"ENSG00000128510",11.1865431459422,51200,"CPA4"
"ENSG00000101098",1400.01834884276,11.1733180114862,0.92772264144551,7.98773990697442e-35,4.99549925557219e-33,"ENSG00000101098",11.1733180114862,140730,"RIMS4"
"ENSG00000154654",425.757127176421,11.1661564439655,1.19404774453885,2.92531725732822e-22,8.46002878109209e-21,"ENSG00000154654",11.1661564439655,4685,"NCAM2"
